customer_id,created_at,score
1850911,2017-11-09 15:20:25,0
1850912,2017-11-09 15:20:25,0
1850913,2017-11-09 15:20:25,27
1850914,2017-11-09 15:20:25,0
1850915,2017-11-09 15:20:25,0
1850916,2017-11-09 15:20:25,39
1850917,2017-11-09 15:20:25,57
1850918,2017-11-09 15:20:25,20
1850919,2017-11-09 15:20:25,20
1850920,2017-11-09 15:20:25,0
1850921,2017-11-09 15:20:25,17
1850922,2017-11-09 15:20:25,17
1850923,2017-11-09 15:20:25,0
1850924,2017-11-09 15:20:25,0
1850925,2017-11-09 15:20:25,16
1850926,2017-11-09 15:20:25,44
1850927,2017-11-09 15:20:25,19
1850928,2017-11-09 15:20:25,0
1850929,2017-11-09 15:20:25,13
1850930,2017-11-09 15:20:25,35
1850931,2017-11-09 15:20:25,10
1850932,2017-11-09 15:20:25,0
1850933,2017-11-09 15:20:25,15
1850934,2017-11-09 15:20:25,4
1850935,2017-11-09 15:20:25,0
1850936,2017-11-09 15:20:25,15
1850937,2017-11-09 15:20:25,0
1850938,2017-11-09 15:20:25,19
1850939,2017-11-09 15:20:25,30
1850940,2017-11-09 15:20:25,46
1850941,2017-11-09 15:20:25,33
1850942,2017-11-09 15:20:25,90
1850943,2017-11-09 15:20:25,25
1850944,2017-11-09 15:20:25,0
1850945,2017-11-09 15:20:25,90
1850946,2017-11-09 15:20:25,33
1850947,2017-11-09 15:20:25,25
1850948,2017-11-09 15:20:25,0
1850949,2017-11-09 15:20:25,0
1850950,2017-11-09 15:20:25,23
1850951,2017-11-09 15:20:25,49
1850952,2017-11-09 15:20:25,90
1850953,2017-11-09 15:20:25,0
1850954,2017-11-09 15:20:25,17
1850955,2017-11-09 15:20:25,20
1850956,2017-11-09 15:20:25,0
1850957,2017-11-09 15:20:25,0
1850958,2017-11-09 15:20:25,23
1850959,2017-11-09 15:20:25,0
1850960,2017-11-09 15:20:25,0
1850961,2017-11-09 15:20:25,29
1850962,2017-11-09 15:20:25,90
1850963,2017-11-09 15:20:25,0
1850964,2017-11-09 15:20:25,17
1850965,2017-11-09 15:20:25,31
1850966,2017-11-09 15:20:25,90
1850967,2017-11-09 15:20:25,29
1850968,2017-11-09 15:20:25,13
1850969,2017-11-09 15:20:25,0
1850970,2017-11-09 15:20:25,0
1850971,2017-11-09 15:20:25,18
1850972,2017-11-09 15:20:25,13
1850973,2017-11-09 15:20:25,0
1850974,2017-11-09 15:20:25,90
1850975,2017-11-09 15:20:25,21
1850976,2017-11-09 15:20:25,45
1850977,2017-11-09 15:20:25,22
1850978,2017-11-09 15:20:25,25
1850979,2017-11-09 15:20:25,47
1850980,2017-11-09 15:20:25,22
1850981,2017-11-09 15:20:25,0
1850982,2017-11-09 15:20:25,90
1850983,2017-11-09 15:20:25,22
1850984,2017-11-09 15:20:25,35
1850985,2017-11-09 15:20:25,33
1850986,2017-11-09 15:20:25,90
1850987,2017-11-09 15:20:25,21
1850988,2017-11-09 15:20:25,0
1850989,2017-11-09 15:20:25,90
1850990,2017-11-09 15:20:25,90
1850991,2017-11-09 15:20:25,0
1850992,2017-11-09 15:20:25,20
1850993,2017-11-09 15:20:25,0
1850994,2017-11-09 15:20:25,19
1850995,2017-11-09 15:20:25,90
1850996,2017-11-09 15:20:25,0
1850997,2017-11-09 15:20:25,0
1850998,2017-11-09 15:20:25,33
1850999,2017-11-09 15:20:25,0
1851000,2017-11-09 15:20:25,21
1851001,2017-11-09 15:20:25,0
1851002,2017-11-09 15:20:25,90
1851003,2017-11-09 15:20:25,0
1851004,2017-11-09 15:20:25,11
1851005,2017-11-09 15:20:25,24
1851006,2017-11-09 15:20:25,18
1851007,2017-11-09 15:20:25,0
1851008,2017-11-09 15:20:25,15
1851009,2017-11-09 15:20:25,0
1851010,2017-11-09 15:20:25,90
1851011,2017-11-09 15:20:25,21
1851012,2017-11-09 15:20:25,23
1851013,2017-11-09 15:20:25,25
1851014,2017-11-09 15:20:25,19
1851015,2017-11-09 15:20:25,90
1851016,2017-11-09 15:20:25,0
1851017,2017-11-09 15:20:25,17
1851018,2017-11-09 15:20:25,19
1851019,2017-11-09 15:20:25,2
1851020,2017-11-09 15:20:25,41
1851021,2017-11-09 15:20:25,14
1851022,2017-11-09 15:20:25,20
1851023,2017-11-09 15:20:25,15
1851024,2017-11-09 15:20:25,16
1851025,2017-11-09 15:20:25,21
1851026,2017-11-09 15:20:25,26
1851027,2017-11-09 15:20:25,22
1851028,2017-11-09 15:20:25,18
1851029,2017-11-09 15:20:25,26
1851030,2017-11-09 15:20:25,90
1851031,2017-11-09 15:20:25,19
1851032,2017-11-09 15:20:25,90
1851033,2017-11-09 15:20:25,90
1851034,2017-11-09 15:20:25,18
1851035,2017-11-09 15:20:25,24
1851036,2017-11-09 15:20:25,0
1851037,2017-11-09 15:20:25,0
1851038,2017-11-09 15:20:25,0
1851039,2017-11-09 15:20:25,48
1851040,2017-11-09 15:20:25,0
1851041,2017-11-09 15:20:25,0
1851042,2017-11-09 15:20:25,0
1851043,2017-11-09 15:20:25,11
1851044,2017-11-09 15:20:25,0
1851045,2017-11-09 15:20:25,26
1851046,2017-11-09 15:20:25,0
1851047,2017-11-09 15:20:25,90
1851048,2017-11-09 15:20:25,0
1851049,2017-11-09 15:20:25,27
1851050,2017-11-09 15:20:25,0
1851051,2017-11-09 15:20:25,90
1851052,2017-11-09 15:20:25,0
1851053,2017-11-09 15:20:25,90
1851054,2017-11-09 15:20:25,0
1851055,2017-11-09 15:20:25,0
1851056,2017-11-09 15:20:25,0
1851057,2017-11-09 15:20:25,13
1851058,2017-11-09 15:20:25,0
1851059,2017-11-09 15:20:25,0
1851060,2017-11-09 15:20:25,0
1851061,2017-11-09 15:20:25,0
1851062,2017-11-09 15:20:25,0
1851063,2017-11-09 15:20:25,45
1851064,2017-11-09 15:20:25,0
1851065,2017-11-09 15:20:25,0
1851066,2017-11-09 15:20:25,0
1851067,2017-11-09 15:20:25,0
1851068,2017-11-09 15:20:25,0
1851069,2017-11-09 15:20:25,19
1851070,2017-11-09 15:20:25,0
1851071,2017-11-09 15:20:25,0
1851072,2017-11-09 15:20:25,0
1851073,2017-11-09 15:20:25,15
1851074,2017-11-09 15:20:25,0
1851075,2017-11-09 15:20:25,56
1851076,2017-11-09 15:20:25,0
1851077,2017-11-09 15:20:25,9
1851078,2017-11-09 15:20:25,40
1851079,2017-11-09 15:20:25,28
1851080,2017-11-09 15:20:25,90
1851081,2017-11-09 15:20:25,21
1851082,2017-11-09 15:20:25,46
1851083,2017-11-09 15:20:25,0
1851084,2017-11-09 15:20:25,0
1851085,2017-11-09 15:20:25,35
1851086,2017-11-09 15:20:25,27
1851087,2017-11-09 15:20:25,23
1851088,2017-11-09 15:20:25,21
1851089,2017-11-09 15:20:25,27
1851090,2017-11-09 15:20:25,18
1851091,2017-11-09 15:20:25,19
1851092,2017-11-09 15:20:25,13
1851093,2017-11-09 15:20:25,90
1851094,2017-11-09 15:20:25,0
1851095,2017-11-09 15:20:25,90
1851096,2017-11-09 15:20:25,90
1851097,2017-11-09 15:20:25,19
1851098,2017-11-09 15:20:25,32
1851099,2017-11-09 15:20:25,32
1851100,2017-11-09 15:20:25,19
1851101,2017-11-09 15:20:25,0
1851102,2017-11-09 15:20:25,0
1851103,2017-11-09 15:20:25,28
1851104,2017-11-09 15:20:25,0
1851105,2017-11-09 15:20:25,36
1851106,2017-11-09 15:20:25,0
1851107,2017-11-09 15:20:25,0
1851108,2017-11-09 15:20:25,8
1851109,2017-11-09 15:20:25,21
1851110,2017-11-09 15:20:25,0
1851111,2017-11-09 15:20:25,0
1851112,2017-11-09 15:20:25,90
1851113,2017-11-09 15:20:25,0
1851114,2017-11-09 15:20:25,90
1851115,2017-11-09 15:20:25,25
1851116,2017-11-09 15:20:25,90
1851117,2017-11-09 15:20:25,0
1851118,2017-11-09 15:20:25,0
1851119,2017-11-09 15:20:25,34
1851120,2017-11-09 15:20:25,0
1851121,2017-11-09 15:20:25,44
1851122,2017-11-09 15:20:25,0
1851123,2017-11-09 15:20:25,10
1851124,2017-11-09 15:20:25,21
1851125,2017-11-09 15:20:25,90
1851126,2017-11-09 15:20:25,2
1851127,2017-11-09 15:20:25,0
1851128,2017-11-09 15:20:25,90
1851129,2017-11-09 15:20:25,31
1851130,2017-11-09 15:20:25,35
1851131,2017-11-09 15:20:25,21
1851132,2017-11-09 15:20:25,0
1851133,2017-11-09 15:20:25,18
1851134,2017-11-09 15:20:25,0
1851135,2017-11-09 15:20:25,90
1851136,2017-11-09 15:20:25,18
1851137,2017-11-09 15:20:25,90
1851138,2017-11-09 15:20:25,22
1851139,2017-11-09 15:20:25,35
1851140,2017-11-09 15:20:25,90
1851141,2017-11-09 15:20:25,23
1851142,2017-11-09 15:20:25,24
1851143,2017-11-09 15:20:25,22
1851144,2017-11-09 15:20:25,90
1851145,2017-11-09 15:20:25,11
1851146,2017-11-09 15:20:25,0
1851147,2017-11-09 15:20:25,0
1851148,2017-11-09 15:20:25,19
1851149,2017-11-09 15:20:25,0
1851150,2017-11-09 15:20:25,0
1851151,2017-11-09 15:20:25,24
1851152,2017-11-09 15:20:25,34
1851153,2017-11-09 15:20:25,90
1851154,2017-11-09 15:20:25,0
1851155,2017-11-09 15:20:25,19
1851156,2017-11-09 15:20:25,0
1851157,2017-11-09 15:20:25,86
1851158,2017-11-09 15:20:25,26
1851159,2017-11-09 15:20:25,49
1851160,2017-11-09 15:20:25,86
1851161,2017-11-09 15:20:25,13
1851162,2017-11-09 15:20:25,0
1851163,2017-11-09 15:20:25,2
1851164,2017-11-09 15:20:25,19
1851165,2017-11-09 15:20:25,90
1851166,2017-11-09 15:20:25,0
1851167,2017-11-09 15:20:25,86
1851168,2017-11-09 15:20:25,0
1851169,2017-11-09 15:20:25,0
1851170,2017-11-09 15:20:25,34
1851171,2017-11-09 15:20:25,35
1851172,2017-11-09 15:20:25,2
1851173,2017-11-09 15:20:25,20
1851174,2017-11-09 15:20:25,90
1851175,2017-11-09 15:20:25,90
1851176,2017-11-09 15:20:25,0
1851177,2017-11-09 15:20:25,9
1851178,2017-11-09 15:20:25,9
1851179,2017-11-09 15:20:25,0
1851180,2017-11-09 15:20:25,0
1851181,2017-11-09 15:20:25,0
1851182,2017-11-09 15:20:25,57
1851183,2017-11-09 15:20:25,25
1851184,2017-11-09 15:20:25,18
1851185,2017-11-09 15:20:25,20
1851186,2017-11-09 15:20:25,21
1851187,2017-11-09 15:20:25,32
1851188,2017-11-09 15:20:25,90
1851189,2017-11-09 15:20:25,0
1851190,2017-11-09 15:20:25,29
1851191,2017-11-09 15:20:25,21
1851192,2017-11-09 15:20:25,1
1851193,2017-11-09 15:20:25,0
1851194,2017-11-09 15:20:25,17
1851195,2017-11-09 15:20:25,18
1851196,2017-11-09 15:20:25,17
1851197,2017-11-09 15:20:25,46
1851198,2017-11-09 15:20:25,20
1851199,2017-11-09 15:20:25,90
1851200,2017-11-09 15:20:25,42
1851201,2017-11-09 15:20:25,0
1851202,2017-11-09 15:20:25,0
1851203,2017-11-09 15:20:25,0
1851204,2017-11-09 15:20:25,42
1851205,2017-11-09 15:20:25,14
1851206,2017-11-09 15:20:25,18
1851207,2017-11-09 15:20:25,20
1851208,2017-11-09 15:20:25,28
1851209,2017-11-09 15:20:25,5
1851210,2017-11-09 15:20:25,18
1851211,2017-11-09 15:20:25,29
1851212,2017-11-09 15:20:25,6
1851213,2017-11-09 15:20:25,23
1851214,2017-11-09 15:20:25,48
